用例编号,模块,章节,用例标题,优先级,页面路由,前置条件,操作步骤,期望结果,实际结果,执行人 / 日期 / 备注,,,,,
DOC-001,文档上传,3. 文档上传（DOC）,单文档上传,P0,/document/upload,已登录；具备上传权限,1. 进入文档上传页<br>2. 选择 1 个 文件（建议 PDF）并完成上传<br>3. 观察提示与列表/队列,上传成功；系统展示 1 条记录；无重复条目；后续在文件列表或处理流中可找到,,,,,,,
DOC-002,文档上传,3. 文档上传（DOC）,多文档一次选择上传,P0,/document/upload,已登录,1. 一次多选多个文件（如 5～10 个）上传<br>2. 核对上传队列或结果列表数量,成功数量与所选文件数一致；失败文件有明确提示（若有部分失败）,,,,,,,
DOC-003,文档上传,3. 文档上传（DOC）,文件夹上传,P1,/document/upload,浏览器/控件支持文件夹选择,1. 选择整个文件夹上传<br>2. 统计文件夹内可上传文件数并与系统接收数对比,数量对得上（或与产品定义的过滤规则一致且有说明）,,,,,,,
DOC-004,文档上传,3. 文档上传（DOC）,上传列表数量与所选一致,P0,/document/upload,准备已知数量 N 的文件,上传 N 个文件，记录界面展示的成功数、失败数,成功数 + 失败数与操作一致；无静默丢失,,,,,,,
DOC-005,文档上传,3. 文档上传（DOC）,单文件大小限制（≤100MB）,P0,/document/upload,准备略小于、等于、略大于 100MB 的文件（按环境实际上限）,分别尝试上传；观察前端校验与后端返回,超限被拦截或明确报错；合规文件可上传,,,,,,,
DOC-006,文档上传,3. 文档上传（DOC）,单次文档数量限制（<50）,P0,/document/upload,准备 ≥50 个可上传文件,1. 单次选择 49 个上传<br>2. 单次选择 50 个或 51 个（以产品规则为准）,符合「单次 <50」时全部成功或按规则分批；超限时前端/后端有清晰提示,,,,,,,
DOC-007,文档上传,3. 文档上传（DOC）,PDF 格式支持,P0,/document/upload,标准 PDF 样例,上传 PDF，进入后续处理/预览（若有）,可上传；后续 OCR/解析流程可触发且无格式不支持类错误,,,,,,,
DOC-008,文档上传,3. 文档上传（DOC）,JPG / PNG 图片格式支持,P0,/document/upload,JPG、PNG 各一份,分别上传并走后续流程,均被接受且处理链路正常,,,,,,,
DOC-009,文档上传,3. 文档上传（DOC）,Word（.docx）格式,P1,/document/upload,.docx 样例,上传并观察解析/OCR/转换行为（以产品实现为准）,行为与产品说明一致：或成功入库，或明确提示「需 PDF」等,,,,,,,
DOC-010,文档上传,3. 文档上传（DOC）,Word（.doc）格式（若环境支持）,P2,/document/upload,旧版 .doc 样例,同 DOC-009,与产品支持范围一致；不支持时应有提示而非白屏,,,,,,,
DOC-011,文档上传,3. 文档上传（DOC）,不支持格式或异常文件,P1,/document/upload,如 .exe、空文件、损坏 PDF,尝试上传,明确错误提示；不污染列表；无未处理异常弹窗,,,,,,,
DOC-012,文档上传,3. 文档上传（DOC）,上传后在下游可见,P0,/document/upload → /patient/pool 文档页,完成一次成功上传,打开文件列表或归档相关页面检索该文档,可检索到；元信息（名称、时间等）合理,,,,,,,
OCR-001,OCR,4. OCR（OCR）,OCR 成功,P0,文档详情 / 归档及审核 / 系统提供的 OCR 入口（以实际 UI 为准）,已上传可识别扫描件,触发 OCR；等待完成；打开识别文本,OCR 成功；可见文本内容与版面大致相符,,,,,,,
OCR-002,OCR,4. OCR（OCR）,重新 OCR,P1,同上,文档已完成过一次 OCR,点击「重新 OCR」或等价操作；等待完成,任务可重新执行；新结果覆盖或版本可追溯（以产品设计为准）；无重复脏数据,,,,,,,
OCR-003,OCR,4. OCR（OCR）,OCR 失败或超时提示,P2,同上,可用极大图或易失败样例（若可构造）,触发 OCR,失败时有用户可理解的提示；可重试,,,,,,,
META-001,元数据抽取,5. 元数据抽取（META）,元数据字段有值,P0,文档处理 / 详情页元数据区,上传后已完成元数据抽取任务,查看配置的元数据字段（如分类、标题、患者线索等）,关键字段非空或按规则显示「未识别」；无整表空白且无报错,,,,,,,
META-002,元数据抽取,5. 元数据抽取（META）,元数据准确率（抽样）,P1,同上,准备 ground truth 已知的样本文档 ≥3 份,逐字段人工核对；记录正确数/抽样数,备注中填写准确率；明显系统性错误提缺陷,,,,,,,
META-003,元数据抽取,5. 元数据抽取（META）,重新抽取元数据,P1,同上,已有元数据,触发「重新抽取」；对比前后差异,可完成；结果刷新；历史可追溯（若产品支持）,,,,,,,
META-004,元数据抽取,5. 元数据抽取（META）,元数据手工修改与保存,P0,同上,字段可编辑,修改若干字段 → 保存 → 刷新页面,保存成功；刷新后仍为修改值,,,,,,,
META-005,元数据抽取,5. 元数据抽取（META）,元数据与文档绑定一致,P1,文件列表 + 详情；文件列表为 /document/file-list,多文档环境下,核对文档 A 的元数据不会显示在文档 B,无串档,,,,,,,
ARC-001,归档与患者绑定,6. 归档与患者绑定（ARC）,无已归档数据：单文档新建,P0,/document/processing（代码中已挂载但主菜单隐藏）,测试账号下无已归档患者或已清空测试数据,对 1 份 新上传文档执行归档 → 选择「新建患者/分组」并完成,生成新患者或新分组；文档归属正确,,,,,,,
ARC-002,归档与患者绑定,6. 归档与患者绑定（ARC）,同患者多文档：同一分组（批量新建）,P0,/document/processing（代码中已挂载但主菜单隐藏）,多份文档标识为同一患者,批量选择文档 → 归档到同一新建或已有患者,同一患者下可见多文档；分组一致,,,,,,,
ARC-003,归档与患者绑定,6. 归档与患者绑定（ARC）,不同患者多文档：不同分组（批量新建）,P0,/document/processing（代码中已挂载但主菜单隐藏）,多份文档对应不同患者,批量归档，使系统分为多个患者/分组,不会错误合并；各组文档正确,,,,,,,
ARC-004,归档与患者绑定,6. 归档与患者绑定（ARC）,单文档：手动新建 vs 选择已有患者,P0,/document/processing（代码中已挂载但主菜单隐藏）,池中已有至少 1 名患者,1. 单文档选择「新建」完成归档<br>2. 另一单文档选择「已有患者」绑定,两种路径均可完成；绑定关系正确,,,,,,,
ARC-005,归档与患者绑定,6. 归档与患者绑定（ARC）,多文档：手动 / 选择新建组合,P1,/document/processing（代码中已挂载但主菜单隐藏）,多文档待归档,批量操作中分别验证「手动指定」与「从列表选择」流程（以 UI 为准）,交互清晰；最终结果与选择一致,,,,,,,
ARC-006,归档与患者绑定,6. 归档与患者绑定（ARC）,患者信息缺失：新建与归档,P0,/document/processing（代码中已挂载但主菜单隐藏）,文档缺少姓名/身份证等强标识,尝试新建患者并归档,允许在规则内创建（或引导补全）；不因缺字段卡死；提示明确,,,,,,,
ARC-007,归档与患者绑定,6. 归档与患者绑定（ARC）,已有患者：多文档自动推荐匹配,P0,/document/processing（代码中已挂载但主菜单隐藏）,患者池已存在与上传文档匹配度高的患者,上传新文档进入归档；观察推荐患者列表或默认选中,推荐合理；可一键确认或改选,,,,,,,
ARC-008,归档与患者绑定,6. 归档与患者绑定（ARC）,手动选择绑定患者,P0,/document/processing（代码中已挂载但主菜单隐藏）,推荐不准或有多名相似患者,手动搜索并选择正确患者后归档,绑定成功；文档出现在该患者下,,,,,,,
ARC-009,归档与患者绑定,6. 归档与患者绑定（ARC）,文档删除,P1,归档页或文件列表；文件列表为 /document/file-list,存在可删测试文档,执行删除并确认,文档移除或进入回收策略（以产品为准）；关联引用无脏数据,,,,,,,
ARC-010,归档与患者绑定,6. 归档与患者绑定（ARC）,批量归档,P0,/document/processing（代码中已挂载但主菜单隐藏）,多条待归档记录,多选 → 批量归档到目标患者/规则,全部成功或有清晰部分失败原因,,,,,,,
ARC-011,归档与患者绑定,6. 归档与患者绑定（ARC）,批量选择文档与分组,P1,/document/processing（代码中已挂载但主菜单隐藏）,多文档、多分组场景,验证多选、分组筛选、按组操作（以 UI 为准）,选择状态正确；不误选其他组,,,,,,,
ARC-012,归档与患者绑定,6. 归档与患者绑定（ARC）,批量删除,P1,归档或列表,多条测试数据,多选删除 → 确认,选中项均处理；二次确认防误删（若有）,,,,,,,
ARC-013,归档与患者绑定,6. 归档与患者绑定（ARC）,归档后患者池数据一致,P0,/document/processing（代码中已挂载但主菜单隐藏） → /patient/pool,完成 ARC-001～012 任一条归档,打开患者池核对文档数、最近更新时间,与归档操作一致,,,,,,,
FIL-001,文件列表,11. 文档管理 / 文件列表（FIL）,当前用户文档列表（患者视图以及文件视图）,P0,/document/file-list,已登录；已上传多份文档,打开文件列表，核对条数与筛选，,仅见当前用户（或权限范围内）文档，文档信息（大小，绑定状态，处理状态信息显示准确）,,,,,,,
FIL-002,文件列表,11. 文档管理 / 文件列表（FIL）,列表显示以及操作完整,P0,/document/file-list,已登录；已上传多份文档,患者视图以及文件视图,文档筛选以及视图与实际一致,,,,,,,
PAT-001,患者数据池,7. 患者数据池（PAT）,患者删除,P1,/patient/pool 或患者详情；患者详情可通过 /patient/detail/:patientId,使用可删除的测试患者,执行删除；确认提示,删除成功或按策略软删；关联文档提示合理（若有）,,,,,,,
PAT-002,患者数据池,,患者新建,P1,/patient/pool 或患者详情；患者详情可通过 /patient/detail/:patientId,可新增患者,点击“新增”，填写新增患者信息，保存后新建,新增后患者卡片显示新增患者；,,,,,,,
PAT-003,患者数据池,7. 患者数据池（PAT）,AI 生成病情摘要,P1,/patient/detail/:patientId,患者下有足够文档或病历数据,触发「生成摘要」类功能；等待完成,生成可读摘要；可保存或展示在约定位置,,,,,,,
PAT-004,患者数据池,7. 患者数据池（PAT）,病情摘要异常处理,P2,患者详情；患者详情可通过 /patient/detail/:patientId,空患者或模型失败场景（若可模拟）,触发摘要,友好提示；不白屏,,,,,,,
PAT-005,患者数据池,,文档列表显示,P1,患者详情；患者详情可通过 /patient/detail/:patientId,患者下有足够文档,文档显示，排序等,正确显示所有患者管理文档，以及文档元数据及抽取情况，可按照标签进行筛选以及正确排序,,,,,,,
PAT-006,患者数据池,,文档上传,P1,患者详情；患者详情可通过 /patient/detail/:patientId,有新建患者信息,点击文档上传，弹窗中选择文件上传,文档上传，自动进行解析——元数据抽取——患者绑定以及电子病历字段抽取，显示抽取进度，完成后提示。,,,,,,,
CRF-001,CRF 与表单设计,8. CRF 与表单设计（CRF）,支持上传 CSV 定义表单,P1,/research/templates/create 或 /research/templates/:templateId/edit；项目内为 /research/projects/:projectId/template/edit,标准 CSV 模板,上传 CSV 导入字段/结构,解析成功；字段生成可编辑,,,,,,,
CRF-002,CRF 与表单设计,8. CRF 与表单设计（CRF）,四院 CSV 样例导入,P0,/research/templates/create 或 /research/templates/:templateId/edit；项目内为 /research/projects/:projectId/template/edit,团队提供的四院 CSV 样例（路径：__________）,导入并检查字段名、类型、分组,与四院规范一致；无乱码、无丢列,,,,,,,
CRF-003,CRF 与表单设计,8. CRF 与表单设计（CRF）,新增分组,P0,/research/templates/create 或编辑页,具备 crf:design,新建分组并保存,树/列表中出现新分组；刷新后仍在,,,,,,,
CRF-004,CRF 与表单设计,8. CRF 与表单设计（CRF）,新增表单,P0,/research/templates/create 或 /research/templates/:templateId/edit；项目内为 /research/projects/:projectId/template/edit,已有分组,在分组下新建表单,表单创建成功；可进入配置,,,,,,,
CRF-005,CRF 与表单设计,8. CRF 与表单设计（CRF）,表单配置：基础信息提示词是否可重复,P1,表单配置面板,产品对提示词唯一性有规则,故意重复基础信息提示词（若允许则保存；若不允许则看校验）,行为与产品规则一致并有文案提示,,,,,,,
CRF-006,CRF 与表单设计,8. CRF 与表单设计（CRF）,新增字段,P0,/research/templates/create 或 /research/templates/:templateId/edit；项目内为 /research/projects/:projectId/template/edit,在表单内,新增字段，填写标题后保存,字段出现在画布/列表；可继续配置,,,,,,,
CRF-007,CRF 与表单设计,8. CRF 与表单设计（CRF）,组件可拖拽,P0,/research/templates/create 或 /research/templates/:templateId/edit；项目内为 /research/projects/:projectId/template/edit,多个字段/组件,拖拽调整位置,拖拽跟手；落点正确；保存后位置保持,,,,,,,
CRF-008,CRF 与表单设计,8. CRF 与表单设计（CRF）,文件夹（分组）排序,P1,/research/templates/create 或 /research/templates/:templateId/edit；项目内为 /research/projects/:projectId/template/edit,多个分组,调整分组顺序并保存,预览/科研项目侧顺序一致,,,,,,,
CRF-009,CRF 与表单设计,8. CRF 与表单设计（CRF）,表单排序,P1,/research/templates/create 或 /research/templates/:templateId/edit；项目内为 /research/projects/:projectId/template/edit,同组下多表单,调整表单顺序并保存,科研项目内表单顺序与设计器一致,,,,,,,
CRF-010,CRF 与表单设计,8. CRF 与表单设计（CRF）,字段排序,P0,/research/templates/create 或 /research/templates/:templateId/edit；项目内为 /research/projects/:projectId/template/edit,同表多字段,拖拽排序并保存,渲染顺序与配置一致,,,,,,,
CRF-011,CRF 与表单设计,8. CRF 与表单设计（CRF）,子表内字段顺序,P1,/research/templates/create 或 /research/templates/:templateId/edit；项目内为 /research/projects/:projectId/template/edit,存在子表/重复组,调整子表字段顺序并保存,子表渲染顺序正确,,,,,,,
CRF-012,CRF 与表单设计,8. CRF 与表单设计（CRF）,字段配置项完整性与回显,P0,字段配置抽屉/面板,任意字段,配置 标题、描述、prompt、单位、是否必填、类型 等 → 保存 → 重新打开,各属性回显正确；必填校验在运行态生效（若可测）,,,,,,,
CRF-013,CRF 与表单设计,8. CRF 与表单设计（CRF）,文件类型与 URL 类型：渲染可点击下载,P1,CRF 预览或项目填报页,配置为文件或 URL 的字段并有样例值,渲染态点击链接/下载,可下载或新开页；无死链静默失败,,,,,,,
CRF-014,CRF 与表单设计,8. CRF 与表单设计（CRF）,「不参与抽取」字段,P1,/research/templates/create 或 /research/templates/:templateId/edit；项目内为 /research/projects/:projectId/template/edit,标记某字段不参与抽取,执行抽取后核对该字段是否仍为空或保持手工值,不被自动填充或按规则跳过,,,,,,,
CRF-015,CRF 与表单设计,8. CRF 与表单设计（CRF）,删除 CRF / 模板,P1,/research/templates/create 或 /research/templates/:templateId/edit；项目内为 /research/projects/:projectId/template/edit,测试用模板,删除并确认,删除成功；关联项目提示合理,,,,,,,
CRF-016,CRF 与表单设计,8. CRF 与表单设计（CRF）,复制模板,P1,模版管理,已有模板,复制生成新模板,结构一致；新 ID；可独立编辑,,,,,,,
CRF-017,CRF 与表单设计,8. CRF 与表单设计（CRF）,系统模板,P1,模版入口,环境存在系统预置模板,从系统模板创建或查看约束（只读/可复制）,与权限设计一致,,,,,,,
CRF-018,CRF 与表单设计,8. CRF 与表单设计（CRF）,基础信息修改,P1,模板属性/项目设置,可编辑基础信息,修改名称、描述等并保存,全局展示更新,,,,,,,
CRF-019,CRF 与表单设计,8. CRF 与表单设计（CRF）,预览,P0,/research/templates/create 或 /research/templates/:templateId/edit；项目内为 /research/projects/:projectId/template/edit,已配置多类型字段,打开预览,与最终渲染一致；无布局崩坏,,,,,,,
CRF-020,CRF 与表单设计,8. CRF 与表单设计（CRF）,导入科研项目后字段齐全,P0,/research/research/research/projects/:projectId/template/edit 或项目内表单；项目患者详情为 /research/projects/:projectId/patients/:patientId,模板含多分组、子表、特殊类型字段,将模板应用到项目后逐项核对字段是否存在,无丢字段、无合并错误,,,,,,,
CRF-021,CRF 与表单设计,8. CRF 与表单设计（CRF）,导入科研项目后排序正确,P0,项目内表单视图；项目患者详情为 /research/projects/:projectId/patients/:patientId,CRF-008～011 已调整顺序,对比设计器与项目内顺序,分组、表单、字段、子表字段顺序一致,,,,,,,
PRJ-001,科研项目与抽取,9. 科研项目与抽取（PRJ）,创建科研项目,P0,/research/research/projects,具备创建权限,新建项目，填写必填项并提交,项目出现在列表；可进入详情,,,,,,,
PRJ-002,科研项目与抽取,9. 科研项目与抽取（PRJ）,项目流程（状态流转）,P1,项目详情,产品定义了阶段/状态,按产品设计推进流程（如草稿→进行中→归档）,状态与按钮可用性正确,,,,,,,
PRJ-003,科研项目与抽取,9. 科研项目与抽取（PRJ）,删除项目,P1,/research/research/projects,测试项目,删除并确认,项目移除或不可见；数据策略符合说明,,,,,,,
PRJ-004,科研项目与抽取,9. 科研项目与抽取（PRJ）,抽取 Pipeline 启动,P0,项目内抽取入口；项目患者详情为 /research/projects/:projectId/patients/:patientId,已绑定文档与 CRF,启动抽取；观察任务状态,任务进入队列并完成；无未捕获前端错误,,,,,,,
PRJ-005,科研项目与抽取,9. 科研项目与抽取（PRJ）,表单与文档匹配正确,P0,项目患者详情 / 抽取结果；患者详情可通过 /patient/detail/:patientId；项目患者详情为 /research/projects/:projectId/patients/:patientId,多表单、多文档场景,核对每份文档对应的抽取目标表单是否符合规则,无张冠李戴,,,,,,,
PRJ-006,科研项目与抽取,9. 科研项目与抽取（PRJ）,命中率（抽样记录）,P1,抽取结果页,有标准答案的样例,抽样字段，记录「应抽且已抽」比例,备注中写命中率；明显偏低提缺陷并区分 prompt / 非 prompt,,,,,,,
